Entry	Gene ontology IDs
EDO31973	GO:0005886,  GO:0006811,  GO:0016021,  GO:0055085
KII60352	GO:0003676,  GO:0015074
EDO49628	
EDO28097	GO:0000822,  GO:0005543,  GO:0005737,  GO:0006406,  GO:0006446,  GO:0006449,  GO:0016973,  GO:0031369,  GO:0044614
EDO38819	
EDO29422	
EDO47170	
EDO26094	
EDO44643	
EDO43313	
EDO39292	GO:0015630,  GO:0060271,  GO:0060294
EDO26716	
EDO41837	GO:0000922,  GO:0005623,  GO:0005813,  GO:0005814,  GO:0034454,  GO:0036064,  GO:0097712
EDO43225	GO:0008171,  GO:0008757
EDO44491	GO:0003777,  GO:0005524,  GO:0005871,  GO:0005874,  GO:0007018,  GO:0008017,  GO:0016887
EDO42038	GO:0004888,  GO:0005887,  GO:0007165,  GO:0007268,  GO:0022848,  GO:0030054,  GO:0034220,  GO:0042391,  GO:0043005,  GO:0045202,  GO:0045211,  GO:0050877
EDO32998	GO:0016021,  GO:0042284,  GO:0046513
EDO27174	GO:0008168
EDO46166	
EDO38402	
EDO33534	GO:0031080
EDO35509	
EDO42599	GO:0016021
EDO34958	GO:0016021
EDO30809	GO:0016616
EDO40901	GO:0000290,  GO:0000340,  GO:0000932,  GO:0005634,  GO:0050072
EDO49678	GO:0003712,  GO:0005634,  GO:0008270,  GO:0030018
EDO36961	
EDO46886	GO:0016021
EDO45029	GO:0005669,  GO:0046982
EDO45090	GO:0016491
EDO33468	GO:0003735,  GO:0006412,  GO:0015935,  GO:0019843,  GO:0022627,  GO:0045903
EDO37035	GO:0016021
EDO41435	GO:0003677,  GO:0003700
EDO35811	GO:0004655,  GO:0005829,  GO:0006783,  GO:0008270
EDO46339	
EDO37746	
EDO45031	GO:0000122,  GO:0000977,  GO:0001227,  GO:0005634,  GO:0009952,  GO:0030154,  GO:0046983,  GO:0050767
EDO44760	
EDO38288	GO:0005887
EDO29905	
EDO46025	
EDO33113	
EDO37933	
EDO39180	GO:0016021
EDO35160	
EDO47392	GO:0001691,  GO:0004864,  GO:0005739,  GO:0008138,  GO:0019903,  GO:0062030,  GO:2001244
EDO46109	GO:0006353,  GO:0017128
EDO44675	GO:0005525
EDO46532	GO:0003924,  GO:0005525
EDO37025	GO:0016021
EDO36135	GO:0006886,  GO:0016192,  GO:0030131,  GO:0030276
EDO38528	GO:0005347,  GO:0005779,  GO:0015217,  GO:0015228,  GO:0015230,  GO:0044610,  GO:0051724,  GO:0080122
EDO37985	
EDO38404	GO:0006807,  GO:0016811
EDO36354	GO:0003676
EDO45756	GO:0004553,  GO:0005975
EDO44029	GO:0016021
EDO49703	GO:0005783
